# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_pacdm          15:(.)xa_pacdr           16:(.)rho_pacdr          17:(.)p_pacdr            18:(.)nsub_pacdr         19:(.)N_pacdr            20:(.)w_pacdr            21:(.)cs2_pacdr       22:(.)Gamma_pacdr [1/Mpc]    23:(.)dx_pacdr           24:(.)ddx_pacdr          25:(.)dw_pacdr           26:(.)ddw_pacdr          27:(.)dcs2_pacdr         28:(.)dGamma_pacdr       29:(.)rho_lambda         30:(.)rho_ur             31:(.)rho_crit           32:(.)rho_tot            33:(.)p_tot              34:(.)p_tot_prime        35:gr.fac. D             36:gr.fac. f          
       1.000000000000e+14       7.220491395121e-26       4.427420208231e-09       2.258546957822e+22       1.376396112417e+04       1.376396112417e-10       1.376396112417e+18       2.556290747864e-09       2.751560535470e+44       2.490422367464e+33       1.269557357771e+34       6.248974318963e+43       2.082991439654e+43       6.681880830373e+32       1.401019665328e-10       4.460319494831e+43       1.486773164944e+43       6.281445046054e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.640954224215e+32       1.401019665328e-10       1.401019665328e-10      -1.040908539276e-21      -2.081817078552e-21      -2.081817078552e-21      -2.000000000000e+00       5.028897389097e-08       1.278544443680e+44       5.101034360688e+44       5.101034360688e+44       1.700344786843e+44      -1.536123418229e+53       6.450706674841e-06       2.000000000000e+00 
       9.893085837570e+13       7.377397795105e-26       4.474713932723e-09       2.210510992891e+22       1.376396112417e+04       1.391270767297e-10       1.361680488664e+18       2.583916475705e-09       2.635761930281e+44       2.411394910978e+33       1.229271063302e+34       5.985988096902e+43       1.995329365634e+43       6.469847701589e+32       1.416160425908e-10       4.272608278037e+43       1.424202759346e+43       6.082118766491e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.563516494252e+32       1.416160425908e-10       1.416160425908e-10      -1.063528216921e-21      -2.127056433841e-21      -2.127056433841e-21      -2.000000000000e+00       5.028897389097e-08       1.224737281765e+44       4.886358849694e+44       4.886358849694e+44       1.628786283180e+44      -1.455743958217e+53       6.589383710120e-06       1.957908951181e+00 
       9.787314738953e+13       7.537713866100e-26       4.523826646619e-09       2.163496682135e+22       1.376396112417e+04       1.406306171946e-10       1.347122195770e+18       2.611840752664e-09       2.524836674885e+44       2.334875197339e+33       1.190263155754e+34       5.734069571628e+43       1.911356523876e+43       6.264542925022e+32       1.431464812051e-10       4.092796831864e+43       1.364265610621e+43       5.889117618396e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.487725750669e+32       1.431464812051e-10       1.431464812051e-10      -1.086639436135e-21      -2.173278872269e-21      -2.173278872269e-21      -2.000000000000e+00       5.028897389097e-08       1.173194578226e+44       4.680717893608e+44       4.680717893608e+44       1.560239297820e+44      -1.379570447749e+53       6.728060745385e-06       1.917553041712e+00 
       9.682674483178e+13       7.701513709053e-26       4.572939360514e-09       2.117482296474e+22       1.376396112417e+04       1.421504063581e-10       1.332719551645e+18       2.640066805694e-09       2.418579675807e+44       2.260783649468e+33       1.152493068649e+34       5.492752962420e+43       1.830917654140e+43       6.065752992888e+32       1.446934592051e-10       3.920552696821e+43       1.306850898940e+43       5.702240889208e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.413546964495e+32       1.446934592051e-10       1.446934592051e-10      -1.110252878463e-21      -2.220505756926e-21      -2.220505756926e-21      -2.000000000000e+00       5.028897389097e-08       1.123821034005e+44       4.483731275880e+44       4.483731275880e+44       1.494577091912e+44      -1.307382805582e+53       6.866737780640e-06       1.878827146122e+00 
       9.579152979933e+13       7.868873041660e-26       4.622052074410e-09       2.072446568975e+22       1.376396112417e+04       1.436866198191e-10       1.318470892183e+18       2.668597896632e-09       2.316794470871e+44       2.189043215469e+33       1.115921522784e+34       5.261592090800e+43       1.753864030267e+43       5.873271172550e+32       1.462571553312e-10       3.755557404874e+43       1.251852468291e+43       5.521294235487e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.340945851771e+32       1.462571553312e-10       1.462571553312e-10      -1.134379457569e-21      -2.268758915138e-21      -2.268758915138e-21      -2.000000000000e+00       5.028897389097e-08       1.076525360680e+44       4.295034781258e+44       4.295034781258e+44       1.431678260373e+44      -1.238972466481e+53       7.005414815897e-06       1.841634462244e+00 
       9.476738268169e+13       8.039869210241e-26       4.672983777709e-09       2.028368685023e+22       1.376396112417e+04       1.452394350744e-10       1.304374571070e+18       2.697437321835e-09       2.219292865953e+44       2.119579288499e+33       1.080510485389e+34       5.040159555578e+43       1.680053185193e+43       5.686897291523e+32       1.478377502556e-10       3.597505890621e+43       1.199168630207e+43       5.346089480806e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.269888857708e+32       1.478377502556e-10       1.478377502556e-10      -1.159030324277e-21      -2.318060648554e-21      -2.318060648554e-21      -2.000000000000e+00       5.028897389097e-08       1.031220111673e+44       4.114279522381e+44       4.114279522381e+44       1.371426507415e+44      -1.174141778631e+53       7.144091851151e-06       1.805885704713e+00 
       9.375418514718e+13       8.214581245421e-26       4.722096491605e-09       1.985228272696e+22       1.376396112417e+04       1.468090315388e-10       1.290428959594e+18       2.726588413459e-09       2.125894587024e+44       2.052319629182e+33       1.046223130569e+34       4.828045942615e+43       1.609348647538e+43       5.506437529309e+32       1.494354266029e-10       3.446105927246e+43       1.148701975749e+43       5.176444420059e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.200343141179e+32       1.494354266029e-10       1.494354266029e-10      -1.184216871727e-21      -2.368433743454e-21      -2.368433743454e-21      -2.000000000000e+00       5.028897389097e-08       9.878215205701e+43       3.941131294711e+44       3.941131294711e+44       1.313710431527e+44      -1.112703432581e+53       7.282768886405e-06       1.771498388655e+00 
       9.275182012925e+13       8.393089897140e-26       4.773028194904e-09       1.943005393355e+22       1.376396112417e+04       1.483955905662e-10       1.276632446455e+18       2.756054539726e-09       2.036426946831e+44       1.987194290481e+33       1.013023801007e+34       4.624859067846e+43       1.541619689282e+43       5.331704215825e+32       1.510503689712e-10       3.301077586215e+43       1.100359195405e+43       5.012182629969e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.132276559537e+32       1.510503689712e-10       1.510503689712e-10      -1.209950740640e-21      -2.419901481279e-21      -2.419901481279e-21      -2.000000000000e+00       5.028897389097e-08       9.462493462411e+43       3.775269958605e+44       3.775269958605e+44       1.258423319493e+44      -1.054479920066e+53       7.421445921658e-06       1.738396194400e+00 
       9.176017181296e+13       8.575477675567e-26       4.825778887607e-09       1.901680532425e+22       1.376396112417e+04       1.499992954702e-10       1.262983437581e+18       2.785839105275e-09       1.950724525616e+44       1.924135544956e+33       9.808779708860e+33       4.430223252152e+43       1.476741084051e+43       5.162515636242e+32       1.526827639538e-10       3.162152719698e+43       1.054050906566e+43       4.853133285623e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.065657653763e+32       1.526827639538e-10       1.526827639538e-10      -1.236243824697e-21      -2.472487649394e-21      -2.472487649394e-21      -2.000000000000e+00       5.028897389097e-08       9.064267244805e+43       3.616388847404e+44       3.616388847404e+44       1.205462949094e+44      -9.993030211511e+52       7.560122956911e-06       1.706508402067e+00 
       9.077912562158e+13       8.761828874895e-26       4.876710590906e-09       1.861234590379e+22       1.376396112417e+04       1.516203315457e-10       1.249480355942e+18       2.815945551424e-09       1.868628865258e+44       1.863077814332e+33       9.497522099809e+33       4.243778626762e+43       1.414592875587e+43       4.998695842005e+32       1.543328001602e-10       3.029074464790e+43       1.009691488263e+43       4.699130982816e+29       7.137658555036e-01       3.333333333333e-01       3.333333333333e-01       3.000455633926e+32       1.543328001602e-10       1.543328001602e-10      -1.263108276039e-21      -2.526216552078e-21      -2.526216552078e-21      -2.000000000000e+00       5.028897389097e-08       8.682800258898e+43       3.464194200421e+44       3.464194200421e+44       1.154731400101e+44      -9.470133182042e+52       7.698799992158e-06       1.675769387306e+00 
