# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.573891021797e-10       4.383507649911e-15       3.353400340165e-13       0.000000000000e+00       7.404604799669e-09       5.481616431817e-10      -1.855266306229e-12 
    3       1.450080247264e-10       5.456811104654e-15       3.867174780520e-13       0.000000000000e+00       4.587191030832e-09       3.824726872175e-10      -1.380539074884e-12 
    4       1.347492054776e-10       4.540231564753e-15       3.641339419021e-13       0.000000000000e+00       3.186818260118e-09       2.861831182749e-10      -8.740364345493e-13 
    5       1.272767017763e-10       2.906506574215e-15       3.099882972542e-13       0.000000000000e+00       2.373591684925e-09       2.239885459679e-10      -4.565469002056e-13 
    6       1.221373618499e-10       1.577453149353e-15       2.488295784530e-13       0.000000000000e+00       1.848923361318e-09       1.808982767991e-10      -1.589076382748e-13 
    7       1.187170260312e-10       8.617777014611e-16       1.947203220593e-13       0.000000000000e+00       1.487495956451e-09       1.495869787774e-10       2.083194260660e-14 
    8       1.165371788214e-10       5.825402172985e-16       1.536924340749e-13       0.000000000000e+00       1.226635570780e-09       1.260267636209e-10       1.024962462408e-13 
    9       1.153263927745e-10       4.747663933269e-16       1.268786005584e-13       0.000000000000e+00       1.031072092054e-09       1.078026221576e-10       1.142724405663e-13 
   10       1.147740429815e-10       3.969512059000e-16       1.126555244944e-13       0.000000000000e+00       8.797847992383e-10       9.339051181232e-11       8.567249211567e-14 
   11       1.147661689700e-10       3.294047233174e-16       1.081349195488e-13       0.000000000000e+00       7.455146963544e-10       8.217804981827e-11       4.259884075420e-14 
   12       1.151539268991e-10       2.906455314152e-16       1.101378968103e-13       0.000000000000e+00       6.503680823065e-10       7.259357440104e-11       2.652431095140e-15 
   13       1.158541736163e-10       2.840874924682e-16       1.158867599265e-13       0.000000000000e+00       5.723130391492e-10       6.447569858477e-11      -2.420950734264e-14 
   14       1.167747205705e-10       2.976573372122e-16       1.233990579669e-13       0.000000000000e+00       5.074082723020e-10       5.760543132067e-11      -3.527338769174e-14 
   15       1.179317590829e-10       3.225274839142e-16       1.315251473330e-13       0.000000000000e+00       4.528184606972e-10       5.182234912257e-11      -3.317674651152e-14 
   16       1.192617844130e-10       3.604853193739e-16       1.397720063563e-13       0.000000000000e+00       4.064412158197e-10       4.690186793451e-11      -2.340909052934e-14 
   17       1.207635750322e-10       4.176538047412e-16       1.480371249635e-13       0.000000000000e+00       3.666897338962e-10       4.263298788578e-11      -1.179117170180e-14 
   18       1.223428198779e-10       4.967220855636e-16       1.566334871814e-13       0.000000000000e+00       3.322175953597e-10       3.882841685102e-11      -2.966011705762e-15 
   19       1.240238658096e-10       5.966291163020e-16       1.657588810576e-13       0.000000000000e+00       3.024659719215e-10       3.548835311694e-11       1.380338137373e-15 
   20       1.258217197395e-10       7.147476373141e-16       1.754869352708e-13       0.000000000000e+00       2.762870079296e-10       3.258767787892e-11       8.471016011544e-16 
   21       1.277245704560e-10       8.510881117096e-16       1.856867974433e-13       0.000000000000e+00       2.532641819798e-10       3.007032866506e-11      -3.154656950926e-15 
   22       1.296817065508e-10       1.006187868312e-15       1.960760551277e-13       0.000000000000e+00       2.328401265007e-10       2.782371290825e-11      -8.237212779276e-15 
   23       1.317062978500e-10       1.179883499474e-15       2.062753936671e-13       0.000000000000e+00       2.147301721376e-10       2.579379759132e-11      -1.271556800938e-14 
   24       1.338073328789e-10       1.371794864599e-15       2.158418385668e-13       0.000000000000e+00       1.985124921684e-10       2.392723131295e-11      -1.514574906272e-14 
   25       1.359755047501e-10       1.582877910671e-15       2.245117051732e-13       0.000000000000e+00       1.839932839033e-10       2.223659667733e-11      -1.527865194634e-14 
   26       1.381820784989e-10       1.814674251945e-15       2.320975356671e-13       0.000000000000e+00       1.709065999419e-10       2.073529926235e-11      -1.346269955448e-14 
   27       1.404314090787e-10       2.069194087140e-15       2.385782422573e-13       0.000000000000e+00       1.590928957501e-10       1.939671521893e-11      -1.070054175507e-14 
   28       1.427273693796e-10       2.348557225733e-15       2.440092415395e-13       0.000000000000e+00       1.483459869253e-10       1.817358456089e-11      -8.226516521279e-15 
   29       1.450755227292e-10       2.654038277185e-15       2.484609959632e-13       0.000000000000e+00       1.386092597466e-10       1.705691579225e-11      -6.496116315654e-15 
   30       1.474683533198e-10       2.986596702727e-15       2.520399381716e-13       0.000000000000e+00       1.297764809402e-10       1.603920867160e-11      -5.751722232027e-15 
   31       1.498880488154e-10       3.347141300072e-15       2.548417153800e-13       0.000000000000e+00       1.216654847672e-10       1.510426990915e-11      -6.139153384591e-15 
   32       1.523406061356e-10       3.736697727902e-15       2.567524100594e-13       0.000000000000e+00       1.142330975364e-10       1.424688647915e-11      -7.290690157825e-15 
   33       1.548319025323e-10       4.156293637005e-15       2.575697208278e-13       0.000000000000e+00       1.074255620863e-10       1.345875094174e-11      -8.568021518104e-15 
   34       1.573606704706e-10       4.606895093956e-15       2.570849325922e-13       0.000000000000e+00       1.011462082479e-10       1.272685828775e-11      -9.320997508620e-15 
   35       1.599292119099e-10       5.089352833399e-15       2.552004577218e-13       0.000000000000e+00       9.536190834945e-11       1.204874510517e-11      -9.458599460008e-15 
   36       1.625346526903e-10       5.604427249578e-15       2.518522620078e-13       0.000000000000e+00       9.002525601474e-11       1.142161444792e-11      -9.075921472299e-15 
   37       1.651692158038e-10       6.152830422000e-15       2.469905373010e-13       0.000000000000e+00       8.506565833745e-11       1.083976440696e-11      -8.309261609973e-15 
   38       1.678341537389e-10       6.735343073190e-15       2.406190481076e-13       0.000000000000e+00       8.046965902319e-11       1.030110516676e-11      -7.344476904254e-15 
   39       1.705291697430e-10       7.352728960033e-15       2.327701324654e-13       0.000000000000e+00       7.622211939998e-11       9.802200588416e-12      -6.416714685820e-15 
   40       1.732479003665e-10       8.005699357230e-15       2.234956147060e-13       0.000000000000e+00       7.228180752587e-11       9.336147532807e-12      -5.812276442416e-15 
   41       1.759822382057e-10       8.694937947394e-15       2.128425873368e-13       0.000000000000e+00       6.859560912294e-11       8.894961325813e-12      -5.781281459780e-15 
   42       1.787384711980e-10       9.421193126886e-15       2.007685764567e-13       0.000000000000e+00       6.515218311766e-11       8.478371572144e-12      -6.233843382006e-15 
   43       1.815253619111e-10       1.018521022382e-14       1.872006491891e-13       0.000000000000e+00       6.194195061595e-11       8.087395727287e-12      -6.950324693555e-15 
