# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.573894964672e-10       4.383682291618e-15       3.353400306204e-13       1.746416627783e-19       7.404604799669e-09       5.481616431817e-10      -1.855266306229e-12 
    3       1.450088114881e-10       5.457160469261e-15       3.867174629129e-13       3.493641715666e-19       4.587191030832e-09       3.824726872175e-10      -1.380539074884e-12 
    4       1.347505127637e-10       4.540814018607e-15       3.641338983854e-13       5.824517150329e-19       3.186818260118e-09       2.861831182749e-10      -8.740364345493e-13 
    5       1.272786553464e-10       2.907380589337e-15       3.099881980730e-13       8.740077842342e-19       2.373591684925e-09       2.239885459679e-10      -4.565469002056e-13 
    6       1.221400847056e-10       1.578677327544e-15       2.488293833233e-13       1.224158140503e-18       1.848923361318e-09       1.808982767991e-10      -1.589076382748e-13 
    7       1.187206380148e-10       8.634107967911e-16       1.947199755494e-13       1.633048570597e-18       1.487495956451e-09       1.495869787774e-10       2.083194260660e-14 
    8       1.165417962868e-10       5.846411565749e-16       1.536918636764e-13       2.100842342539e-18       1.226635570780e-09       1.260267636209e-10       1.024962462408e-13 
    9       1.153321283375e-10       4.773942941251e-16       1.268777149967e-13       2.627717434997e-18       1.031072092054e-09       1.078026221576e-10       1.142724405663e-13 
   10       1.147810053507e-10       4.001653917209e-16       1.126542122941e-13       3.213863618347e-18       8.797847992383e-10       9.339051181232e-11       8.567249211567e-14 
   11       1.147744628602e-10       3.332647354323e-16       1.081330478579e-13       3.859479468187e-18       7.455146963544e-10       8.217804981827e-11       4.259884075420e-14 
   12       1.151636530237e-10       2.952111369682e-16       1.101353104836e-13       4.564769391920e-18       6.503680823065e-10       7.259357440104e-11       2.652431095140e-15 
   13       1.158654287540e-10       2.894186884336e-16       1.158832808625e-13       5.329940746197e-18       5.723130391492e-10       6.447569858477e-11      -2.420950734264e-14 
   14       1.167875976992e-10       3.038143498512e-16       1.233944846864e-13       6.155201117568e-18       5.074082723020e-10       5.760543132067e-11      -3.527338769174e-14 
   15       1.179463475718e-10       3.295707634377e-16       1.315192547845e-13       7.040755830906e-18       4.528184606972e-10       5.182234912257e-11      -3.317674651152e-14 
   16       1.192781702613e-10       3.684755296063e-16       1.397645459300e-13       7.986805740339e-18       4.064412158197e-10       4.690186793451e-11      -2.340909052934e-14 
   17       1.207818411439e-10       4.266518076776e-16       1.480278246951e-13       8.993545345927e-18       3.666897338962e-10       4.263298788578e-11      -1.179117170180e-14 
   18       1.223630463638e-10       5.067889209640e-16       1.566220521327e-13       1.006116112772e-17       3.322175953597e-10       3.882841685102e-11      -2.966011705762e-15 
   19       1.240461302715e-10       6.078259756517e-16       1.657449938077e-13       1.118983108624e-17       3.024659719215e-10       3.548835311694e-11       1.380338137373e-15 
   20       1.258460976124e-10       7.271358344103e-16       1.754702566295e-13       1.237972241979e-17       2.762870079296e-10       3.258767787892e-11       8.471016011544e-16 
   21       1.277511352516e-10       8.647290476331e-16       1.856669671658e-13       1.363099328704e-17       2.532641819798e-10       3.007032866506e-11      -3.154656950926e-15 
   22       1.297105301665e-10       1.021142993121e-15       1.960526928677e-13       1.494379027576e-17       2.328401265007e-10       2.782371290825e-11      -8.237212779276e-15 
   23       1.317374507451e-10       1.196214270935e-15       2.062480999059e-13       1.631825135604e-17       2.147301721376e-10       2.579379759132e-11      -1.271556800938e-14 
   24       1.338408843173e-10       1.389562703436e-15       2.158101957880e-13       1.775450330266e-17       1.985124921684e-10       2.392723131295e-11      -1.514574906272e-14 
   25       1.360115228705e-10       1.602144156361e-15       2.244752790131e-13       1.925266605634e-17       1.839932839033e-10       2.223659667733e-11      -1.527865194634e-14 
   26       1.382206304667e-10       1.835500113910e-15       2.320558763189e-13       2.081284961853e-17       1.709065999419e-10       2.073529926235e-11      -1.346269955448e-14 
   27       1.404725610772e-10       2.091640598621e-15       2.385308859045e-13       2.243515829366e-17       1.590928957501e-10       1.939671521893e-11      -1.070054175507e-14 
   28       1.427711866529e-10       2.372685194569e-15       2.439557120369e-13       2.411968855959e-17       1.483459869253e-10       1.817358456089e-11      -8.226516521279e-15 
   29       1.451220693916e-10       2.679908249009e-15       2.484008066450e-13       2.586653623967e-17       1.386092597466e-10       1.705691579225e-11      -6.496116315654e-15 
   30       1.475176923272e-10       3.014268910717e-15       2.519725938590e-13       2.767579035728e-17       1.297764809402e-10       1.603920867160e-11      -5.751722232027e-15 
   31       1.499402419279e-10       3.376675615397e-15       2.547667146304e-13       2.954753311772e-17       1.216654847672e-10       1.510426990915e-11      -6.139153384591e-15 
   32       1.523957136205e-10       3.768153635336e-15       2.566692478142e-13       3.148184931943e-17       1.142330975364e-10       1.424688647915e-11      -7.290690157825e-15 
   33       1.548899830043e-10       4.189730191249e-15       2.574778910725e-13       3.347882013985e-17       1.074255620863e-10       1.345875094174e-11      -8.568021518104e-15 
   34       1.574217807581e-10       4.642370874695e-15       2.569839312814e-13       3.553852207030e-17       1.011462082479e-10       1.272685828775e-11      -9.320997508620e-15 
   35       1.599934068330e-10       5.126925925242e-15       2.550897864334e-13       3.766103210364e-17       9.536190834945e-11       1.204874510517e-11      -9.458599460008e-15 
   36       1.626019848662e-10       5.644155203511e-15       2.517314314116e-13       3.984642433436e-17       9.002525601474e-11       1.142161444792e-11      -9.075921472299e-15 
   37       1.652397355012e-10       6.194770214324e-15       2.468590709045e-13       4.209476858999e-17       8.506565833745e-11       1.083976440696e-11      -8.309261609973e-15 
   38       1.679079088890e-10       6.779551082351e-15       2.404764870110e-13       4.440613035036e-17       8.046965902319e-11       1.030110516676e-11      -7.344476904254e-15 
   39       1.706062058190e-10       7.399260929972e-15       2.326160397626e-13       4.678057083510e-17       7.622211939998e-11       9.802200588416e-12      -6.416714685820e-15 
   40       1.733282602025e-10       8.054610355022e-15       2.233295798679e-13       4.921814704963e-17       7.228180752587e-11       9.336147532807e-12      -5.812276442416e-15 
   41       1.760659619241e-10       8.746282318394e-15       2.126642309581e-13       5.171890994363e-17       6.859560912294e-11       8.894961325813e-12      -5.781281459780e-15 
   42       1.788255965396e-10       9.475024443187e-15       2.005775557560e-13       5.428289812217e-17       6.515218311766e-11       8.478371572144e-12      -6.233843382006e-15 
   43       1.816159242686e-10       1.024158123600e-14       1.869966633351e-13       5.691014211779e-17       6.194195061595e-11       8.087395727287e-12      -6.950324693555e-15 
   44       1.844434248894e-10       1.104666718752e-14       1.718405579415e-13       5.960066596561e-17       5.894100363944e-11       7.721799994581e-12      -7.660310406058e-15 
   45       1.873118463832e-10       1.189092685516e-14       1.550299845802e-13       6.235448455053e-17       5.611952971154e-11       7.380453528235e-12      -8.110524350271e-15 
   46       1.902213415029e-10       1.277480409775e-14       1.365219391195e-13       6.517159496572e-17       5.347276968532e-11       7.062774972829e-12      -8.299973664263e-15 
   47       1.931686027557e-10       1.369863142459e-14       1.162844190381e-13       6.805198238093e-17       5.099738005890e-11       6.767532394295e-12      -8.309918156450e-15 
   48       1.961467357395e-10       1.466266166089e-14       9.428683482684e-14       7.099562210838e-17       4.868210269782e-11       6.492336786314e-12      -8.240020656231e-15 
   49       1.991449725839e-10       1.566706436216e-14       7.049999178994e-14       7.400247934489e-17       4.650717797289e-11       6.233559428361e-12      -8.209385745928e-15 
   50       2.021527460977e-10       1.671195801610e-14       4.489622684966e-14       7.707250892808e-17       4.445023449953e-11       5.987350140218e-12      -8.326472699852e-15 
   51       2.051738807529e-10       1.779752527153e-14       1.744990495755e-14       8.020565512538e-17       4.250720459242e-11       5.753209616325e-12      -8.586796583894e-15 
   52       2.082157583486e-10       1.892392278903e-14      -1.186297402895e-14       8.340185134203e-17       4.067607164736e-11       5.531243909515e-12      -8.949254787648e-15 
   53       2.112852145521e-10       2.009124633075e-14      -4.306492921819e-14       8.666101985082e-17       3.895061434785e-11       5.321118180846e-12      -9.364409979765e-15 
   54       2.143884575499e-10       2.129952885882e-14      -7.617700958868e-14       8.998307153491e-17       3.732012458417e-11       5.122025864537e-12      -9.774064096701e-15 
   55       2.175303932574e-10       2.254875064322e-14      -1.112152641365e-13       9.336791199092e-17       3.577263101455e-11       4.932977843065e-12      -1.012354313715e-14 
   56       2.207125910069e-10       2.383887688179e-14      -1.481791004708e-13       9.681546220288e-17       3.430615373353e-11       4.753824736472e-12      -1.040310125675e-14 
   57       2.239346700038e-10       2.516982609519e-14      -1.870600533434e-13       1.003256425536e-16       3.291975141794e-11       4.584434561626e-12      -1.061605614722e-14 
   58       2.271947462945e-10       2.654145753393e-14      -2.278449477460e-13       1.038983669052e-16       3.161011831391e-11       4.424377004997e-12      -1.076704710652e-14 
   59       2.304893282962e-10       2.795356974475e-14      -2.705157718630e-13       1.075335425896e-16       3.037143873947e-11       4.272905055510e-12      -1.086210425380e-14 
   60       2.338132123271e-10       2.940589913702e-14      -3.150495500244e-13       1.112310703992e-16       2.919524158701e-11       4.128936637417e-12      -1.090871774433e-14 
   61       2.371612996378e-10       3.089808386753e-14      -3.614239362587e-13       1.149908567956e-16       2.807272681164e-11       3.991350111658e-12      -1.091462812508e-14 
   62       2.405347604477e-10       3.242954926543e-14      -4.096357495324e-13       1.188128537595e-16       2.700268428083e-11       3.859989840394e-12      -1.088372353296e-14 
   63       2.439360744054e-10       3.399959402863e-14      -4.596863924304e-13       1.226970279095e-16       2.598510229693e-11       3.734854766621e-12      -1.081934021071e-14 
   64       2.473671885361e-10       3.560742015220e-14      -5.115765510646e-13       1.266433494443e-16       2.501878672389e-11       3.615796220936e-12      -1.072548817327e-14 
   65       2.508294737399e-10       3.725213039428e-14      -5.653062495365e-13       1.306517925204e-16       2.410129392398e-11       3.502509513214e-12      -1.060687984548e-14 
