#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_pacdm           23:theta_pacdm           24:delta_pacdr           25:theta_pacdr        
       7.008604460138e-01       1.584873746921e-06      -1.216711799385e+00       2.125428571287e-03       4.191434403631e-09       1.047858600908e-08       1.162412556426e-15       2.095717201815e-09      -9.125338495391e-01       2.125428571287e-03       6.076501980702e-01       6.960650315728e-01      -1.216711799385e+00       2.124973393181e-03       1.943851352897e-04      -9.125338495391e-01       2.126383133595e-03      -1.637427189437e-03      -1.411194396450e-06       1.945856163069e-04       3.333333255923e-01      -9.125338495391e-01       2.125428571287e-03      -1.216695932140e+00       2.125428571287e-03 
       7.008604558902e-01       1.584873769282e-06      -1.216711799473e+00       2.125428601247e-03       4.191434580985e-09       1.047858645246e-08       1.162412638412e-15       2.095717290492e-09      -9.125338496046e-01       2.125428601247e-03       6.076501980049e-01       6.960650315579e-01      -1.216711799473e+00       2.124973423121e-03       1.943851408856e-04      -9.125338496046e-01       2.126383163595e-03      -1.637427235524e-03      -1.411194456098e-06       1.945856219086e-04       3.333333255923e-01      -9.125338496046e-01       2.125428601247e-03      -1.216695932227e+00       2.125428601247e-03 
       7.008604657666e-01       1.584873791643e-06      -1.216711799560e+00       2.125428631206e-03       4.191434758339e-09       1.047858689585e-08       1.162412720399e-15       2.095717379169e-09      -9.125338496701e-01       2.125428631206e-03       6.076501979397e-01       6.960650315431e-01      -1.216711799560e+00       2.124973453062e-03       1.943851464816e-04      -9.125338496701e-01       2.126383193595e-03      -1.637427281610e-03      -1.411194515746e-06       1.945856275104e-04       3.333333255923e-01      -9.125338496701e-01       2.125428631207e-03      -1.216695932314e+00       2.125428631206e-03 
       7.008605645303e-01       1.584874015255e-06      -1.216711800433e+00       2.125428930803e-03       4.191436531879e-09       1.047859132970e-08       1.162413540268e-15       2.095718265939e-09      -9.125338503250e-01       2.125428930803e-03       6.076501972872e-01       6.960650313947e-01      -1.216711800433e+00       2.124973752466e-03       1.943852024413e-04      -9.125338503251e-01       2.126383493595e-03      -1.637427742472e-03      -1.411195112222e-06       1.945856835277e-04       3.333333255923e-01      -9.125338503250e-01       2.125428930804e-03      -1.216695933183e+00       2.125428930803e-03 
       7.008606632941e-01       1.584874238866e-06      -1.216711801307e+00       2.125429230400e-03       4.191438305419e-09       1.047859576355e-08       1.162414360138e-15       2.095719152709e-09      -9.125338509800e-01       2.125429230400e-03       6.076501966346e-01       6.960650312464e-01      -1.216711801306e+00       2.124974051870e-03       1.943852584009e-04      -9.125338509802e-01       2.126383793595e-03      -1.637428203334e-03      -1.411195708698e-06       1.945857395451e-04       3.333333255923e-01      -9.125338509800e-01       2.125429230401e-03      -1.216695934052e+00       2.125429230401e-03 
       7.008607620578e-01       1.584874462478e-06      -1.216711802180e+00       2.125429529997e-03       4.191440078960e-09       1.047860019740e-08       1.162415180008e-15       2.095720039480e-09      -9.125338516349e-01       2.125429529997e-03       6.076501959821e-01       6.960650310981e-01      -1.216711802180e+00       2.124974351275e-03       1.943853143606e-04      -9.125338516352e-01       2.126384093595e-03      -1.637428664196e-03      -1.411196305175e-06       1.945857955625e-04       3.333333255923e-01      -9.125338516349e-01       2.125429529998e-03      -1.216695934920e+00       2.125429529998e-03 
       7.008617496953e-01       1.584876698593e-06      -1.216711810913e+00       2.125432525965e-03       4.191457814398e-09       1.047864453599e-08       1.162423378732e-15       2.095728907199e-09      -9.125338581847e-01       2.125432525965e-03       6.076501894567e-01       6.960650296145e-01      -1.216711810912e+00       2.124977345317e-03       1.943858739578e-04      -9.125338581859e-01       2.126387093597e-03      -1.637433272821e-03      -1.411202269949e-06       1.945863557366e-04       3.333333255923e-01      -9.125338581847e-01       2.125432525970e-03      -1.216695943608e+00       2.125432525970e-03 
       7.008627373327e-01       1.584878934708e-06      -1.216711819646e+00       2.125435521933e-03       4.191475549886e-09       1.047868887472e-08       1.162431577503e-15       2.095737774943e-09      -9.125338647345e-01       2.125435521933e-03       6.076501829314e-01       6.960650281310e-01      -1.216711819645e+00       2.124980339360e-03       1.943864335558e-04      -9.125338647367e-01       2.126390093598e-03      -1.637437881453e-03      -1.411208234739e-06       1.945869159115e-04       3.333333255923e-01      -9.125338647345e-01       2.125435521943e-03      -1.216695952297e+00       2.125435521943e-03 
       7.008637249701e-01       1.584881170823e-06      -1.216711828379e+00       2.125438517902e-03       4.191493285424e-09       1.047873321356e-08       1.162439776320e-15       2.095746642712e-09      -9.125338712843e-01       2.125438517902e-03       6.076501764061e-01       6.960650266474e-01      -1.216711828377e+00       2.124983333403e-03       1.943869931545e-04      -9.125338712874e-01       2.126393093600e-03      -1.637442490091e-03      -1.411214199547e-06       1.945874760872e-04       3.333333255923e-01      -9.125338712843e-01       2.125438517915e-03      -1.216695960985e+00       2.125438517915e-03 
       7.008647126076e-01       1.584883406938e-06      -1.216711837112e+00       2.125441513870e-03       4.191511021013e-09       1.047877755253e-08       1.162447975183e-15       2.095755510506e-09      -9.125338778341e-01       2.125441513870e-03       6.076501698808e-01       6.960650251639e-01      -1.216711837110e+00       2.124986327446e-03       1.943875527541e-04      -9.125338778382e-01       2.126396093602e-03      -1.637447098736e-03      -1.411220164372e-06       1.945880362637e-04       3.333333255923e-01      -9.125338778341e-01       2.125441513888e-03      -1.216695969673e+00       2.125441513887e-03 
