# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.417708517908e-06       6.429888511579e+01 
       2.103609723106e-05       1.397555658551e+02 
       3.268772368722e-05       2.139346629459e+02 
       4.439808197034e-05       2.875632305999e+02 
       5.619300967057e-05       3.610448406583e+02 
       6.809887545235e-05       4.346750611548e+02 
       8.014277154133e-05       5.087016240208e+02 
       9.235271324347e-05       5.833487084354e+02 
       1.047578476273e-04       6.588291383706e+02 
       1.173886735218e-04       7.353515061247e+02 
       1.302772750005e-04       8.131247558922e+02 
       1.434575705227e-04       8.923620467268e+02 
       1.569655798779e-04       9.732832036255e+02 
       1.708397109951e-04       1.056117318187e+03 
       1.851210685241e-04       1.141114163637e+03 
       1.998537858245e-04       1.228501201780e+03 
       2.150853815614e-04       1.318575531440e+03 
       2.308671414628e-04       1.411616492757e+03 
       2.472545248413e-04       1.507932427531e+03 
       2.643075941540e-04       1.607854097217e+03 
       2.820914640417e-04       1.711736526970e+03 
       3.006767638268e-04       1.819961408514e+03 
       3.201401042132e-04       1.932938807156e+03 
       3.405645347668e-04       2.051099697544e+03 
       3.620399735256e-04       2.174944689890e+03 
       3.846635836910e-04       2.304949811111e+03 
       4.085400647907e-04       2.441662515485e+03 
       4.337818171177e-04       2.585652503092e+03 
       4.605089290567e-04       2.737520313771e+03 
       4.888489278650e-04       2.897893118116e+03 
       5.189362268453e-04       3.067419772864e+03 
       5.509111974421e-04       3.246763441221e+03 
       5.849187960596e-04       3.436590751754e+03 
       6.211066851969e-04       3.637559075274e+03 
       6.596228098188e-04       3.850301715015e+03 
       7.006124250697e-04       4.075406636592e+03 
       7.442146212525e-04       4.313397572574e+03 
       7.905584543608e-04       4.564711002746e+03 
       8.397588594919e-04       4.829672936012e+03 
       8.919125901366e-04       5.108477480863e+03 
       9.470944754041e-04       5.401168127810e+03 
       1.005354305815e-03       5.707624648398e+03 
       1.066714635697e-03       6.027555605616e+03 
       1.131169723101e-03       6.360497798914e+03 
       1.198685723065e-03       6.705825988658e+03 
