# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.417708517908e-06       6.429832306914e+01 
       2.103609723106e-05       1.397543547934e+02 
       3.268772368722e-05       2.139328376868e+02 
       4.439808197034e-05       2.875608325973e+02 
       5.619300967057e-05       3.610419213678e+02 
       6.809887545235e-05       4.346716838483e+02 
       8.014277154133e-05       5.086978654066e+02 
       9.235271324347e-05       5.833446604378e+02 
       1.047578476273e-04       6.588249102004e+02 
       1.173886735218e-04       7.353472267483e+02 
       1.302772750005e-04       8.131205769962e+02 
       1.434575705227e-04       8.923581462590e+02 
       1.569655798779e-04       9.732797900526e+02 
       1.708397109951e-04       1.056114635584e+03 
       1.851210685241e-04       1.141112500193e+03 
       1.998537858245e-04       1.228500887653e+03 
       2.150853815614e-04       1.318576961706e+03 
       2.308671414628e-04       1.411620128556e+03 
       2.472545248413e-04       1.507938811100e+03 
       2.643075941540e-04       1.607863867205e+03 
       2.820914640417e-04       1.711750436759e+03 
       3.006767638268e-04       1.819980348447e+03 
       3.201401042132e-04       1.932963831183e+03 
       3.405645347668e-04       2.051132051486e+03 
       3.620399735256e-04       2.174985866093e+03 
       3.846635836910e-04       2.305001571106e+03 
       4.085400647907e-04       2.441726962087e+03 
       4.337818171177e-04       2.585732143283e+03 
       4.605089290567e-04       2.737618138813e+03 
       4.888489278650e-04       2.898012698365e+03 
       5.189362268453e-04       3.067565369725e+03 
       5.509111974421e-04       3.246940138049e+03 
       5.849187960596e-04       3.436804605151e+03 
       6.211066851969e-04       3.637817288140e+03 
       6.596228098188e-04       3.850612831328e+03 
       7.006124250697e-04       4.075780755439e+03 
       7.442146212525e-04       4.313846579369e+03 
       7.905584543608e-04       4.565248810787e+03 
       8.397588594919e-04       4.830315729273e+03 
       8.919125901366e-04       5.109243946910e+03 
       9.470944754041e-04       5.402079665986e+03 
       1.005354305815e-03       5.708705537341e+03 
       1.066714635697e-03       6.028833113568e+03 
       1.131169723101e-03       6.362002220557e+03 
       1.198685723065e-03       6.707590597982e+03 
       1.269202123384e-03       7.064818715764e+03 
       1.296249739193e-03       7.200832430657e+03 
       1.342634286097e-03       7.432791313156e+03 
       1.418876855117e-03       7.810522302350e+03 
       1.497807727306e-03       8.196943574201e+03 
       1.579292267080e-03       8.590945301397e+03 
       1.663187469673e-03       8.991396322619e+03 
       1.749345833683e-03       9.397177139379e+03 
       1.837618774831e-03       9.807197025973e+03 
       1.927859485810e-03       1.022040362791e+04 
       2.019925211399e-03       1.063580474718e+04 
       2.113678957809e-03       1.105247303824e+04 
       2.208990688881e-03       1.146955037511e+04 
       2.305738080596e-03       1.188624716058e+04 
       2.403806912287e-03       1.230185435835e+04 
