# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.417708517908e-06       6.429832306914e+01 
       2.103609723106e-05       1.397543547934e+02 
       3.268772368722e-05       2.139328376868e+02 
       4.439808197034e-05       2.875608325973e+02 
       5.619300967057e-05       3.610419213678e+02 
       6.809887545235e-05       4.346716838483e+02 
       8.014277154133e-05       5.086978654066e+02 
       9.235271324347e-05       5.833446604378e+02 
       1.047578476273e-04       6.588249102004e+02 
       1.173886735218e-04       7.353472267483e+02 
       1.302772750005e-04       8.130664391256e+02 
       1.434575705227e-04       8.922927476272e+02 
       1.569655798779e-04       9.732017737295e+02 
       1.708397109951e-04       1.056022529587e+03 
       1.851210685241e-04       1.141004699103e+03 
       1.998537858245e-04       1.228375636326e+03 
       2.150853815614e-04       1.318432327606e+03 
       2.308671414628e-04       1.411453979658e+03 
       2.472545248413e-04       1.507748785848e+03 
       2.643075941540e-04       1.607647341131e+03 
       2.820914640417e-04       1.711504484299e+03 
       3.006767638268e-04       1.819701699170e+03 
       3.201401042132e-04       1.932648819705e+03 
       3.405645347668e-04       2.050776561802e+03 
       3.620399735256e-04       2.174585259315e+03 
       3.846635836910e-04       2.304550621059e+03 
       4.085400647907e-04       2.441219763701e+03 
       4.337818171177e-04       2.585162018644e+03 
       4.605089290567e-04       2.736977529532e+03 
       4.888489278650e-04       2.897293045784e+03 
       5.189362268453e-04       3.066756982597e+03 
       5.509111974421e-04       3.246032048129e+03 
       5.849187960596e-04       3.435784412153e+03 
       6.211066851969e-04       3.636670996015e+03 
       6.596228098188e-04       3.849324678922e+03 
       7.006124250697e-04       4.074333047443e+03 
       7.442146212525e-04       4.312219522174e+03 
       7.905584543608e-04       4.563420361377e+03 
       8.397588594919e-04       4.828261465510e+03 
       8.919125901366e-04       5.106936967716e+03 
       9.470944754041e-04       5.399490529926e+03 
       1.005354305815e-03       5.705802246328e+03 
       1.066714635697e-03       6.025581146983e+03 
       1.131169723101e-03       6.358364622186e+03 
       1.198685723065e-03       6.703528113143e+03 
       1.269202123384e-03       7.060289981803e+03 
       1.296249739193e-03       7.196118851228e+03 
       1.342634286097e-03       7.427753076780e+03 
       1.418876855117e-03       7.804929665334e+03 
       1.497807727306e-03       8.190750271410e+03 
       1.579292267080e-03       8.584103979463e+03 
       1.663187469673e-03       8.983858822665e+03 
       1.749345833683e-03       9.388894763092e+03 
       1.837618774831e-03       9.798120787902e+03 
       1.927859485810e-03       1.021048449375e+04 
       2.019925211399e-03       1.062499383993e+04 
       2.113678957809e-03       1.104072182302e+04 
       2.208990688881e-03       1.145681082011e+04 
       2.305738080596e-03       1.187247187801e+04 
       2.403806912287e-03       1.228699670903e+04 
