# Matter power spectrum P(k) at redshift z=0
# for k=9.41771e-06 to 7.56952 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.417708517908e-06       6.429888511579e+01 
       2.103609723106e-05       1.397555658551e+02 
       3.268772368722e-05       2.139346629459e+02 
       4.439808197034e-05       2.875632305999e+02 
       5.619300967057e-05       3.610448406583e+02 
       6.809887545235e-05       4.346750611548e+02 
       8.014277154133e-05       5.087016240208e+02 
       9.235271324347e-05       5.833487084354e+02 
       1.047578476273e-04       6.588291383706e+02 
       1.173886735218e-04       7.353515061247e+02 
       1.302772750005e-04       8.130710511498e+02 
       1.434575705227e-04       8.922971714466e+02 
       1.569655798779e-04       9.732058117877e+02 
       1.708397109951e-04       1.056025949652e+03 
       1.851210685241e-04       1.141007225912e+03 
       1.998537858245e-04       1.228376953864e+03 
       2.150853815614e-04       1.318432056381e+03 
       2.308671414628e-04       1.411451675737e+03 
       2.472545248413e-04       1.507743926072e+03 
       2.643075941540e-04       1.607639308073e+03 
       2.820914640417e-04       1.711492548260e+03 
       3.006767638268e-04       1.819684996314e+03 
       3.201401042132e-04       1.932626325826e+03 
       3.405645347668e-04       2.050747064528e+03 
       3.620399735256e-04       2.174547304058e+03 
       3.846635836910e-04       2.304502488897e+03 
       4.085400647907e-04       2.441159400051e+03 
       4.337818171177e-04       2.585086971190e+03 
       4.605089290567e-04       2.736884869024e+03 
       4.888489278650e-04       2.897179272269e+03 
       5.189362268453e-04       3.066617914619e+03 
       5.509111974421e-04       3.245862693110e+03 
       5.849187960596e-04       3.435578816493e+03 
       6.211066851969e-04       3.636422073544e+03 
       6.596228098188e-04       3.849024017710e+03 
       7.006124250697e-04       4.073970697414e+03 
       7.442146212525e-04       4.311783765543e+03 
       7.905584543608e-04       4.562897472722e+03 
       8.397588594919e-04       4.827635470492e+03 
       8.919125901366e-04       5.106189411511e+03 
       9.470944754041e-04       5.398600270150e+03 
       1.005354305815e-03       5.704745286317e+03 
       1.066714635697e-03       6.024330525926e+03 
       1.131169723101e-03       6.356890378334e+03 
       1.198685723065e-03       6.701797330577e+03 
